id	book	chapter	denomination	anger	disgust	fear	joy	sadness	openness	conscientiousness	extraversion	agreeableness	emotional_range	wc
244	Isaiah	53	Evangelical/Non-Denominational	0.15838	0.141151	0.084484	0.548661	0.600335	0.930153	0.640003	0.107891	0.721649	0.63354	1232
245	Genesis	37	Foursquare	0.102024	0.08215	0.123206	0.568467	0.253795	0.484157	0.313996	0.073015	0.800528	0.423882	1548
246	John	4	Baptist	0.14061	0.134153	0.151719	0.489779	0.550296	0.765816	0.650622	0.377357	0.972852	0.647605	2926
247	Mark	9	Episcopal	0.154585	0.514991	0.110807	0.151614	0.608307	0.789448	0.846891	0.261904	0.873663	0.534614	2726
248	Mark	4	Baptist	0.14308	0.117274	0.108198	0.586528	0.519471	0.7526	0.820285	0.225937	0.789081	0.686521	2953
249	Philippians	4	Assembly Of God	0.128355	0.116338	0.125238	0.553621	0.545597	0.591538	0.641157	0.292669	0.924659	0.63216	2437
250	Mark	10	Baptist	0.451604	0.147148	0.146114	0.472658	0.600912	0.719631	0.866012	0.175326	0.986276	0.700071	2745
251	Romans	1	Pentecostal	0.10676	0.074932	0.134285	0.637346	0.130158	0.77628	0.783407	0.049711	0.881415	0.604836	1404
252	Psalms	116	Salvation Army	0.109837	0.108224	0.085523	0.61482	0.556491	0.677372	0.97214	0.394005	0.917859	0.738325	1961
253	Matthew	7	Catholic	0.180647	0.526456	0.101487	0.504764	0.539761	0.889649	0.885532	0.240788	0.393646	0.72759	829
254	Colossians	1	Christian/Church Of Christ	0.11951	0.107349	0.094448	0.547325	0.583409	0.901657	0.606789	0.332305	0.903803	0.747902	1546
255	Colossians	2	Christian/Church Of Christ	0.139119	0.120535	0.114777	0.553214	0.597254	0.668383	0.315029	0.164918	0.854588	0.615381	1338
256	Matthew	24	Anglican	0.456218	0.14823	0.146516	0.465791	0.527114	0.625255	0.895284	0.015159	0.802265	0.616339	790
257	John	20	Episcopal	0.169183	0.145517	0.137395	0.207946	0.52286	0.813211	0.981704	0.082599	0.906038	0.693641	2186
258	Luke	7	Episcopal	0.125594	0.108081	0.107804	0.511522	0.581811	0.83007	0.773698	0.144174	0.662581	0.520986	1638
259	Genesis	5	Christian/Church Of Christ	0.125469	0.100637	0.114097	0.560758	0.573706	0.819417	0.698017	0.092996	0.907445	0.578938	2219
260	1 Samuel	16	Evangelical/Non-Denominational	0.13374	0.121817	0.105469	0.555529	0.541943	0.888662	0.61231	0.275315	0.618466	0.833744	629
261	Isaiah	2	Presbyterian/Reformed	0.16826	0.176291	0.116456	0.538153	0.533697	0.925741	0.723426	0.166205	0.64258	0.734701	2929
262	John	10	Independent/Bible	0.185661	0.159117	0.143542	0.162913	0.555218	0.927997	0.591618	0.189922	0.57865	0.742417	2686
263	Isaiah	2	Methodist	0.121548	0.126991	0.444254	0.558413	0.484415	0.826142	0.794165	0.0903	0.831315	0.52468	2527
264	Leviticus	19	Methodist	0.166871	0.45207	0.170489	0.54175	0.530732	0.61971	0.338938	0.149782	0.679845	0.340941	2040
265	John,  John	4, 4	Christian/Church Of Christ	0.184631	0.517608	0.136499	0.155766	0.470766	0.91474	0.779044	0.379388	0.842715	0.708279	2729
266	Acts,  1 Thessalonians,  James,  Revelation,  Psalms,  John,  Zechariah	16, 5, 1, 12, 142, 8, 4	Assembly Of God	0.101604	0.476909	0.136877	0.483914	0.622523	0.870534	0.936978	0.442709	0.922984	0.753253	773
267	Matthew	1	Baptist	0.153745	0.50045	0.145999	0.437955	0.563266	0.960801	0.437761	0.217816	0.421213	0.519884	2927
268	Luke	1	Wesleyan	0.118262	0.185097	0.086362	0.22008	0.535982	0.950764	0.417085	0.436616	0.963924	0.577318	2866
269	Revelation	17	Evangelical/Non-Denominational	0.177375	0.507894	0.12911	0.508775	0.534133	0.983206	0.599257	0.560567	0.615164	0.668947	2416
270	2 Corinthians	13	Brethren	0.181702	0.14093	0.181161	0.528038	0.502884	0.799345	0.758935	0.217726	0.72467	0.592507	2636
271	Joshua	24	Evangelical/Non-Denominational	0.173821	0.126176	0.132161	0.49657	0.545455	0.818957	0.892138	0.133098	0.785813	0.611776	2977
272	1 Timothy	1	Baptist	0.124626	0.114362	0.095414	0.508336	0.568393	0.851494	0.696102	0.161204	0.807147	0.738706	2162
273	Romans,  Matthew,  Romans	13, 25, 7	Baptist	0.15641	0.453897	0.174676	0.495639	0.546354	0.60889	0.883965	0.144313	0.642347	0.74191	1849
274	John	1	Episcopal	0.117411	0.442568	0.121407	0.530156	0.550914	0.960217	0.782737	0.192015	0.751367	0.722813	2429
275	Psalms	92	Christian/Church Of Christ	0.110406	0.101599	0.096477	0.605542	0.537038	0.870019	0.819878	0.380373	0.914944	0.627816	1770
276	Luke	14	Baptist	0.143573	0.106381	0.151239	0.472512	0.534808	0.869519	0.938104	0.216545	0.742949	0.740286	2081
277	Judges	15	Baptist	0.110867	0.185797	0.129007	0.494157	0.487976	0.877953	0.156547	0.073695	0.544179	0.447751	3121
278	Acts	5	Baptist	0.102678	0.147828	0.601893	0.531763	0.545115	0.863784	0.45131	0.291697	0.682175	0.509182	2082
279	Mark	7	Charismatic	0.138706	0.509621	0.123014	0.150522	0.571495	0.934891	0.498833	0.540546	0.41841	0.530745	633
280	John	12	Christian/Church Of Christ	0.105385	0.162199	0.125322	0.528364	0.569466	0.805275	0.844785	0.091713	0.893586	0.757149	2052
281	Matthew	1	Nazarene	0.151405	0.136501	0.137101	0.547556	0.555534	0.650718	0.858362	0.114252	0.776916	0.497112	1469
282	Matthew	3	United Methodist	0.161085	0.154948	0.124152	0.531476	0.550606	0.962207	0.717204	0.621617	0.861606	0.754391	532
283	Mark	2	Evangelical Free	0.147876	0.208508	0.119053	0.450674	0.481687	0.9289	0.761511	0.325295	0.809615	0.720642	670
284	Jeremiah	33	Baptist	0.168672	0.16679	0.104195	0.565678	0.584111	0.767746	0.907718	0.044832	0.829346	0.679695	1670
285	Proverbs	24	Independent/Bible	0.158032	0.146846	0.174335	0.555882	0.286509	0.780027	0.654653	0.20294	0.348919	0.676397	1069
286	Ephesians	4	Christian/Church Of Christ	0.146123	0.124305	0.123373	0.540648	0.525694	0.780253	0.927882	0.368077	0.937202	0.614191	2770
287	1 Peter	5	Baptist	0.144385	0.161234	0.14172	0.236463	0.243411	0.925459	0.489828	0.026329	0.271254	0.583923	288
288	Luke	2	Pentecostal	0.064194	0.067067	0.047302	0.67872	0.193955	0.154417	0.776526	0.092317	0.888076	0.785235	249
289	Hebrews	11	Baptist	0.114783	0.095572	0.120781	0.585072	0.497307	0.813101	0.976803	0.078209	0.949359	0.790638	1003
290	Philippians	1	Evangelical/Non-Denominational	0.143123	0.142101	0.164768	0.462997	0.61358	0.789028	0.579596	0.047158	0.826972	0.653318	1479
291	Matthew	22	Episcopal	0.140982	0.132146	0.108835	0.562623	0.502164	0.904913	0.968955	0.461912	0.887357	0.865778	2664
292	John	6	Episcopal	0.132137	0.564399	0.104043	0.557913	0.568824	0.89128	0.912858	0.161067	0.856819	0.71134	2179
293	Philemon	1	Assembly Of God	0.147418	0.129629	0.086346	0.606532	0.210823	0.792444	0.791247	0.279056	0.823008	0.699916	2711
294	1 John,  1 John	2, 1	Independent/Bible	0.149176	0.103947	0.121452	0.554452	0.513297	0.84953	0.892213	0.324821	0.900523	0.655425	1689
295	Ephesians	2	Independent/Bible	0.159802	0.1152	0.090286	0.588054	0.200296	0.927415	0.864376	0.256925	0.814256	0.741815	2542
296	Ephesians	2	Independent/Bible	0.18518	0.121086	0.114085	0.544516	0.522841	0.950202	0.775327	0.134058	0.597418	0.576875	1394
297	Matthew	24	Baptist	0.166349	0.146697	0.160171	0.163532	0.545898	0.766086	0.331951	0.044552	0.430332	0.471021	554
298	Mark	7	Episcopal	0.177302	0.528008	0.112558	0.548291	0.493749	0.873925	0.680077	0.25047	0.664471	0.573294	2585
299	John	6	Episcopal	0.146301	0.432233	0.098959	0.486068	0.563078	0.823574	0.850575	0.154034	0.905042	0.664552	2539
300	Isaiah	9	Baptist	0.153096	0.099898	0.135748	0.531403	0.555327	0.365324	0.742079	0.005105	0.317932	0.563548	315
301	Mark	14	Evangelical/Non-Denominational	0.456145	0.505419	0.114883	0.153209	0.516256	0.757322	0.892308	0.14703	0.776932	0.710682	2845
302	Luke	2	Christian/Church Of Christ	0.097615	0.086081	0.09217	0.658697	0.544186	0.874991	0.882179	0.520016	0.961431	0.592418	2841
303	John	1	Christian/Church Of Christ	0.137855	0.175165	0.116647	0.496629	0.509669	0.91984	0.646098	0.107213	0.69911	0.759382	1661
304	Matthew	1	Christian/Church Of Christ	0.136314	0.112189	0.121047	0.527714	0.527295	0.803189	0.629917	0.24626	0.474533	0.778159	2842
305	Philippians	1	Baptist	0.050782	0.063403	0.055141	0.736458	0.436149	0.786709	0.90845	0.49262	0.984035	0.525428	2559
306	Luke	2	Christian/Church Of Christ	0.148204	0.179657	0.149563	0.546693	0.554037	0.895361	0.539506	0.122308	0.587912	0.597735	2027
307	Ephesians	5	Baptist	0.15619	0.124888	0.10143	0.563154	0.492565	0.867312	0.607253	0.187058	0.672685	0.57039	2427
