book,anger,disgust,fear,joy,sadness,openness,conscientiousness,extraversion,agreeableness,emotional_range
Proverbs,0.248412432,0.467246382,0.046934072,0.170064897,0.099703976,0.949557599,0.456784144,0.221055863,0.434226373,0.633703265
Ecclesiastes,0.140905755,0.326256058,0.318325573,0.552947934,0.486391316,0.927404875,0.610351267,0.067924786,0.466273334,0.611481891
Song,0.050660656,0.160218846,0.038076869,0.521472713,0.12328279,0.916724992,0.538872601,0.591746556,0.744369568,0.543603656
Isaiah,0.188462484,0.370684142,0.242426744,0.28439558,0.491743643,0.967138987,0.731939051,0.102583286,0.59869965,0.632612926
Jeremiah,0.258432304,0.420427081,0.219787829,0.187826622,0.519870445,0.963608104,0.755481314,0.114455217,0.557921029,0.677182648
Lamentations,0.294908592,0.440693621,0.160178584,0.088348127,0.36910866,0.952188371,0.523808245,0.158624016,0.571561688,0.499620848
Ezekiel,0.194089197,0.442159255,0.170271537,0.215734454,0.44709941,0.967473433,0.691482598,0.165552481,0.541285985,0.68929227
Daniel,0.189541133,0.363225722,0.104813716,0.407799722,0.373743401,0.9699577,0.712372088,0.12285598,0.531938195,0.719562749
Hosea,0.249233124,0.433347371,0.194625354,0.242783344,0.448259057,0.946870006,0.810731222,0.10482588,0.626277721,0.604561429
Joel,0.153512167,0.499645448,0.144235409,0.299736686,0.449771766,0.939080558,0.781507693,0.288258698,0.382421225,0.700368612
Amos,0.28557028,0.329829555,0.187402105,0.145521353,0.569867419,0.954550819,0.773498758,0.082265622,0.508076413,0.69175002
Jonah,0.245552606,0.515869489,0.398141888,0.283222694,0.502069049,0.952354283,0.641812791,0.138364651,0.674602285,0.682629216
Micah,0.19795089,0.40131497,0.152047934,0.230860953,0.380565945,0.967424467,0.760909109,0.124157414,0.573695421,0.664515183
Nahum,0.383390643,0.516627278,0.163996622,0.099477102,0.366133393,0.980355062,0.533757219,0.22445858,0.300972943,0.574345719
Habakkuk,0.192656438,0.484945402,0.160990359,0.103066054,0.497395584,0.970848793,0.659856747,0.100323549,0.496070641,0.628777149
Zephaniah,0.292707567,0.488831708,0.305749216,0.422499665,0.516730029,0.962516826,0.73323317,0.091641374,0.51794116,0.613881199
Haggai,0.3576103,0.513599037,0.560165041,0.519404709,0.229859446,0.916635817,0.732618778,0.194438685,0.283144817,0.735334665
Zechariah,0.179365995,0.286344591,0.241318336,0.366156121,0.420097638,0.968829901,0.7421175,0.183521279,0.631475645,0.667167254
Malachi,0.18192726,0.189136969,0.343758134,0.381910276,0.531591562,0.967806294,0.817298962,0.160716914,0.799939414,0.737908676
Matthew,0.160627296,0.318131235,0.210388466,0.284424872,0.492836891,0.959000533,0.778258161,0.109230699,0.810392965,0.709219207
Mark,0.174442259,0.44309984,0.259917395,0.273651643,0.500782665,0.951473122,0.761302189,0.128480652,0.811375746,0.660883061
Luke,0.152381463,0.375885535,0.218906244,0.384126515,0.474880483,0.95475651,0.797590769,0.130304212,0.853838883,0.697653844
John,0.169860543,0.398888852,0.139297705,0.256559995,0.504160008,0.944861929,0.650525403,0.047509052,0.858045369,0.647530562
Acts,0.158963222,0.441369911,0.256527124,0.297399089,0.463963928,0.945925974,0.793611022,0.276373429,0.806024692,0.680156846
Romans,0.216470332,0.348237137,0.16042838,0.4647092,0.39339544,0.961478517,0.827993674,0.112642071,0.729042804,0.707618757
1 Corinthians,0.160797668,0.385287512,0.158957428,0.353180693,0.457805037,0.939945593,0.692888084,0.077846699,0.682575666,0.589168291
2 Corinthians,0.121549304,0.217874134,0.261546844,0.468302151,0.497243036,0.916239825,0.719353486,0.149847944,0.826765314,0.548134971
Galatians,0.148009668,0.372635488,0.239607494,0.440057783,0.406181329,0.9631335,0.743043444,0.066154631,0.78954442,0.639021536
Ephesians,0.178968196,0.253754404,0.156750865,0.646848254,0.26707727,0.965135368,0.75579957,0.265316593,0.805150013,0.712884585
