chapter,anger,disgust,fear,joy,sadness,openness,conscientiousness,extraversion,agreeableness,emotional_range,weight
100,0.491525,0.307715,0.041113,0.106229,0.077416,0.965823,0.700762,0.373351,0.514884,0.704814,104
101,0.225859,0.176577,0.199534,0.640098,0.173111,0.934286,0.596807,0.151593,0.652989,0.261722,103
102,0.176705,0.122324,0.145299,0.610703,0.164694,0.769328,0.799941,0.03324,0.982707,0.599909,76
103,0.133285,0.058295,0.12057,0.185075,0.400015,0.907888,0.724101,0.718234,0.590319,0.707895,36
104,0.605803,0.287388,0.056496,0.022932,0.131114,0.929692,0.754927,0.026306,0.582947,0.72415,85
105,0.333064,0.319648,0.128759,0.001854,0.357863,0.971433,0.682322,0.045244,0.202435,0.746749,58
106,0.055229,0.038059,0.641797,0.167683,0.013048,0.885209,0.905941,0.563476,0.613692,0.665615,41
107,0.536511,0.084915,0.042936,0.000869,0.416534,0.705507,0.131713,0.078572,0.09762,0.094703,55
108,0.048517,0.025449,0.085346,0.310542,0.358123,0.648763,0.83985,0.162373,0.929359,0.799911,31
109,0.211138,0.225102,0.061695,0.015143,0.571066,0.777091,0.287422,0.160225,0.888605,0.665543,51
110,0.055957,0.099716,0.017988,0.614541,0.080717,0.853875,0.912689,0.327058,0.875482,0.759751,38
111,0.109832,0.080739,0.305721,0.355753,0.023746,0.972578,0.268673,0.327047,0.481124,0.739462,53
112,0.303275,0.239358,0.142432,0.050046,0.333512,0.883584,0.505699,0.083304,0.468253,0.477417,26
113,0.123689,0.089317,0.044772,0.312574,0.282012,0.924463,0.63649,0.249118,0.43192,0.581874,45
114,0.198654,0.096504,0.024452,0.161206,0.43384,0.978484,0.656832,0.338139,0.47119,0.700911,50
